Problems,Agents,Meetings,Variables,Constraints,Messages,Max message size,Cycles,Time Duration (s)
100_50,100,50,152,333,484,16384,182,4.37
200_100,200,100,330,781,1110,65536,452,17.28
300_150,300,150,508,1270,1777,65536,763,21.77
400_200,400,200,687,1770,2456,16384,1084,31.66
500_250,500,250,875,2297,3171,1048576,1423,143.84
600_300,600,300,1052,2761,3812,65536,1710,82.26
700_350,700,350,1234,3290,4523,65536,2057,115.67
800_400,800,400,1423,3795,5217,262144,2373,136.14
900_450,900,450,1607,4303,5909,262144,2697,146.22
1000_500,1000,500,1801,4957,6757,1048576,3157,409.38
